id,name,category,stock_quantity,purchase_price,selling_price,min_stock
639,NIKE G 6/12,,15878,220.0,220.0,0
822,NIKE PM,,400,0.0,0.0,0
1009,NIKE TACHA 7,,202,230.0,230.0,0
524,NIKE TACHA PM,,359,190.0,190.0,0
1049,NIKE-LACOSTE-DJORDAN(4),,350,230.0,230.0,0
1204,NIKE/ADIDAS,,101,0.0,0.0,0
1041,NIKE/PUMA/ADIDAS 14,,151,230.0,230.0,0
1040,NIKE/PUMA/ADIDAS 7,,251,230.0,230.0,0
970,NINJA,,505,200.0,200.0,0
1283,NIVEA 30,,100,125.0,125.0,0
1351,NIVEA 48,,100,250.0,250.0,0
928,NIVEA 54,,653,0.0,0.0,0
1350,NIVEA BL,,8000,11.0,11.0,0
1324,NONE BLANC,,4,0.0,0.0,0
854,NUM2RO ALG GM DINOTEX,,504,0.0,0.0,0
856,NUM2RO ALG PM DINOTEX,,505,0.0,0.0,0
1290,OOREDOO,,403,240.0,240.0,0
988,OROGINAL,,50,0.0,0.0,0
543,P 10,,154,700.0,700.0,0
544,P 12,,91,700.0,700.0,0
679,P 14  FACE PLASTIC,,184,1600.0,1600.0,0
730,P 14 ARGENT,,120,1450.0,1450.0,0
731,P 14 BRANZE,,100,1450.0,1450.0,0
546,P 16,,88,700.0,700.0,0
537,P 2,,102,700.0,700.0,0
538,P 3,,46,700.0,700.0,0
786,P 36,,25,0.0,0.0,0
732,P 38,,40,0.0,0.0,0
539,P 4,,53,700.0,700.0,0
733,P 40,,42,0.0,0.0,0
734,P 42,,42,0.0,0.0,0
735,P 44,,40,0.0,0.0,0
736,P 46,,40,0.0,0.0,0
737,P 48,,40,0.0,0.0,0
540,P 5,,36,700.0,700.0,0
738,P 50,,35,0.0,0.0,0
787,P 52,,30,0.0,0.0,0
788,P 54,,30,0.0,0.0,0
541,P 6,,102,700.0,700.0,0
542,P 8,,36,700.0,700.0,0
548,P L,,118,700.0,700.0,0
547,P M,,101,700.0,700.0,0
683,P S,,70,700.0,700.0,0
1087,P S G 4,,307,0.0,0.0,0
549,P XL,,330,700.0,700.0,0
550,P XXL,,348,700.0,700.0,0
551,P XXXL,,240,700.0,700.0,0
545,P14,,72,700.0,700.0,0
842,PALASTINE,,103,190.0,190.0,0
1098,PALSTICOL,,175,1300.0,1300.0,0
587,PAPILLON 4,,272,185.0,185.0,0
614,PAPILLON 6,,354,220.0,220.0,0
625,PAPILLON 7/10 (32),,55,200.0,200.0,0
1356,PAPILLON DRESS,,128730,0.0,0.0,0
954,PARADA,,203,0.0,0.0,0
1064,PARADA 52,,150,0.0,0.0,0
951,PARIS,,254,0.0,0.0,0
1262,PARIS 8G8P,,50,0.0,0.0,0
745,PBV,,172,2000.0,2000.0,0
935,PERLANTA,,235094,0.0,0.0,0
956,PETIT BATEAU,,10,0.0,0.0,0
1354,PISTOLE ATTACHE,,100,0.0,0.0,0
1099,PLASTISOL,,10,1500.0,1500.0,0
1257,PLY 80,,75000,0.22,0.22,0
841,POLO PM,,203,0.0,0.0,0
926,POLYAMIDE 7CM,,1,0.0,0.0,0
1329,POUDE,,1,0.0,0.0,0
1319,POUDRE,,4,0.0,0.0,0
1210,PRESSE NOIR,,16,0.0,0.0,0
1024,PSG 30,,278,0.0,0.0,0
649,PSG ACCORD 45,,451,200.0,200.0,0
994,PSG ALL,,152,220.0,220.0,0
1085,PSG QATAR 4,,200,0.0,0.0,0
834,PUMA 14,,1906,0.0,0.0,0
1072,PUMA 16,,100,270.0,270.0,0
580,PUMA 20,,1755,200.0,200.0,0
754,PUMA 4 DINOTEX,,126,0.0,0.0,0
1025,PUMA 40,,2512,0.0,0.0,0
776,PUMA 6 DINOTEX,,1,0.0,0.0,0
685,PUMA 6/8,,502,220.0,220.0,0
887,PUMA 6/8 PM,,190,0.0,0.0,0
1051,PUMA 90,,401,0.0,0.0,0
1060,PUMA ADIDAS,,351,220.0,220.0,0
573,PUMA LOGO RAHIM,,100,190.0,190.0,0
1110,PUMA M,,225,0.0,0.0,0
820,PUMA PM,,300,0.0,0.0,0
1316,PUMA3 ADIDAS3,,100,150.0,150.0,0
1104,PVC BLANC,,12,3000.0,3000.0,0
1105,PVC NOIR,,12,3000.0,3000.0,0
857,Palm Angels 4,,200,0.0,0.0,0
858,Palm Angels 6,,642,0.0,0.0,0
855,Palm Angels 7,,100,0.0,0.0,0
763,Palm Angels 8,,344,0.0,0.0,0
1313,QATAR 8,,1000,0.0,0.0,0
977,RALF,,202,0.0,0.0,0
